STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,male_female
Alabama,Autauga County,4,59759,29105,30654,Female
Alabama,Baldwin County,4,246435,120164,126271,Female
Alabama,Barbour County,4,24706,13064,11642,Male
Alabama,Bibb County,4,22005,11775,10230,Male
Alabama,Blount County,4,59512,29583,29929,Female
Alabama,Bullock County,4,10202,5653,4549,Male
Alabama,Butler County,4,18650,8764,9886,Female
Alabama,Calhoun County,4,115788,56321,59467,Female
Alabama,Chambers County,4,34088,16253,17835,Female
Alabama,Cherokee County,4,25302,12747,12555,Male
Alabama,Chilton County,4,45884,22559,23325,Female
Alabama,Choctaw County,4,12439,5916,6523,Female
Alabama,Clarke County,4,22515,10710,11805,Female
Alabama,Clay County,4,14198,6968,7230,Female
Alabama,Cleburne County,4,15346,7652,7694,Female
Alabama,Coffee County,4,54805,27271,27534,Female
Alabama,Colbert County,4,58033,27988,30045,Female
Alabama,Conecuh County,4,11206,5398,5808,Female
Alabama,Coosa County,4,10166,5114,5052,Male
Alabama,Covington County,4,37602,18282,19320,Female
Alabama,Crenshaw County,4,13025,6374,6651,Female
Alabama,Cullman County,4,90665,45264,45401,Female
Alabama,Dale County,4,49544,24296,25248,Female
Alabama,Dallas County,4,36767,17169,19598,Female
Alabama,DeKalb County,4,71998,35995,36003,Female
Alabama,Elmore County,4,89563,43693,45870,Female
Alabama,Escambia County,4,36666,18364,18302,Male
Alabama,Etowah County,4,103088,50181,52907,Female
Alabama,Fayette County,4,16118,7935,8183,Female
Alabama,Franklin County,4,31932,15964,15968,Female
Alabama,Geneva County,4,26783,13177,13606,Female
Alabama,Greene County,4,7422,3448,3974,Female
Alabama,Hale County,4,14595,6939,7656,Female
Alabama,Henry County,4,17655,8581,9074,Female
Alabama,Houston County,4,108079,51910,56169,Female
Alabama,Jackson County,4,52891,26117,26774,Female
Alabama,Jefferson County,4,665409,315909,349500,Female
Alabama,Lamar County,4,13705,6777,6928,Female
Alabama,Lauderdale County,4,95878,46193,49685,Female
Alabama,Lawrence County,4,33214,16282,16932,Female
Alabama,Lee County,4,180773,89202,91571,Female
Alabama,Limestone County,4,110900,55822,55078,Male
Alabama,Lowndes County,4,9777,4694,5083,Female
Alabama,Macon County,4,18516,8452,10064,Female
Alabama,Madison County,4,403565,199291,204274,Female
Alabama,Marengo County,4,18745,8903,9842,Female
Alabama,Marion County,4,29156,14465,14691,Female
Alabama,Marshall County,4,99423,49239,50184,Female
Alabama,Mobile County,4,411411,196896,214515,Female
Alabama,Monroe County,4,19404,9290,10114,Female
Alabama,Montgomery County,4,226361,106477,119884,Female
Alabama,Morgan County,4,124211,61554,62657,Female
Alabama,Perry County,4,8035,3761,4274,Female
Alabama,Pickens County,4,18697,9517,9180,Male
Alabama,Pike County,4,33014,15812,17202,Female
Alabama,Randolph County,4,22479,10995,11484,Female
Alabama,Russell County,4,58555,27888,30667,Female
Alabama,St. Clair County,4,93932,46643,47289,Female
Alabama,Shelby County,4,230115,112209,117906,Female
Alabama,Sumter County,4,11853,5464,6389,Female
Alabama,Talladega County,4,80704,39421,41283,Female
Alabama,Tallapoosa County,4,40977,20015,20962,Female
Alabama,Tuscaloosa County,4,236780,114154,122626,Female
Alabama,Walker County,4,64339,31368,32971,Female
Alabama,Washington County,4,15122,7431,7691,Female
Alabama,Wilcox County,4,10059,4687,5372,Female
Alabama,Winston County,4,23755,11855,11900,Female
Alaska,Aleutians East Borough,4,3398,2373,1025,Male
Alaska,Aleutians West Census Area,4,5122,3630,1492,Male
Alaska,Anchorage Municipality,4,287145,147178,139967,Male
Alaska,Bethel Census Area,4,18257,9597,8660,Male
Alaska,Bristol Bay Borough,4,865,462,403,Male
Alaska,Chugach Census Area,4,6874,3704,3170,Male
Alaska,Copper River Census Area,4,2589,1400,1189,Male
Alaska,Denali Borough,4,1585,866,719,Male
Alaska,Dillingham Census Area,4,4723,2469,2254,Male
Alaska,Fairbanks North Star Borough,4,95356,51464,43892,Male
Alaska,Haines Borough,4,2056,1075,981,Male
Alaska,Hoonah-Angoon Census Area,4,2287,1247,1040,Male
Alaska,Juneau City and Borough,4,31685,16232,15453,Male
Alaska,Kenai Peninsula Borough,4,60690,31817,28873,Male
Alaska,Ketchikan Gateway Borough,4,13741,7085,6656,Male
Alaska,Kodiak Island Borough,4,12720,6820,5900,Male
Alaska,Kusilvak Census Area,4,8278,4435,3843,Male
Alaska,Lake and Peninsula Borough,4,1381,727,654,Male
Alaska,Matanuska-Susitna Borough,4,113325,59311,54014,Male
Alaska,Nome Census Area,4,9835,5177,4658,Male
Alaska,North Slope Borough,4,10805,6873,3932,Male
Alaska,Northwest Arctic Borough,4,7423,3966,3457,Male
Alaska,Petersburg Borough,4,3360,1739,1621,Male
Alaska,Prince of Wales-Hyder Census Area,4,5650,3107,2543,Male
Alaska,Sitka City and Borough,4,8382,4323,4059,Male
Alaska,Skagway Municipality,4,1081,568,513,Male
Alaska,Southeast Fairbanks Census Area,4,7021,3998,3023,Male
Alaska,Wrangell City and Borough,4,2070,1098,972,Male
Alaska,Yakutat City and Borough,4,700,408,292,Male
Alaska,Yukon-Koyukuk Census Area,4,5179,2798,2381,Male
Arizona,Apache County,4,65432,32405,33027,Female
Arizona,Cochise County,4,125663,63913,61750,Male
Arizona,Coconino County,4,144060,71451,72609,Female
Arizona,Gila County,4,53922,26884,27038,Female
Arizona,Graham County,4,38779,20474,18305,Male
Arizona,Greenlee County,4,9302,4851,4451,Male
Arizona,La Paz County,4,16506,8438,8068,Male
Arizona,Maricopa County,4,4551524,2268611,2282913,Female
Arizona,Mohave County,4,220816,111884,108932,Male
Arizona,Navajo County,4,108650,54576,54074,Male
Arizona,Pima County,4,1057597,523349,534248,Female
Arizona,Pinal County,4,464154,240591,223563,Male
Arizona,Santa Cruz County,4,48759,23871,24888,Female
Arizona,Yavapai County,4,246191,121511,124680,Female
Arizona,Yuma County,4,207842,106225,101617,Male
Arkansas,Arkansas County,4,16512,8070,8442,Female
Arkansas,Ashley County,4,18354,8946,9408,Female
Arkansas,Baxter County,4,42435,20720,21715,Female
Arkansas,Benton County,4,302863,152320,150543,Male
Arkansas,Boone County,4,38284,18923,19361,Female
Arkansas,Bradley County,4,10135,4907,5228,Female
Arkansas,Calhoun County,4,4695,2409,2286,Male
Arkansas,Carroll County,4,28742,14492,14250,Male
Arkansas,Chicot County,4,9873,5032,4841,Male
Arkansas,Clark County,4,21250,10209,11041,Female
Arkansas,Clay County,4,14265,7071,7194,Female
Arkansas,Cleburne County,4,25284,12647,12637,Male
Arkansas,Cleveland County,4,7467,3683,3784,Female
Arkansas,Columbia County,4,22216,10788,11428,Female
Arkansas,Conway County,4,21046,10488,10558,Female
Arkansas,Craighead County,4,113017,55126,57891,Female
Arkansas,Crawford County,4,61075,30139,30936,Female
Arkansas,Crittenden County,4,47061,22238,24823,Female
Arkansas,Cross County,4,16601,8124,8477,Female
Arkansas,Dallas County,4,6191,3058,3133,Female
Arkansas,Desha County,4,10771,5070,5701,Female
Arkansas,Drew County,4,16911,8312,8599,Female
Arkansas,Faulkner County,4,127665,61981,65684,Female
Arkansas,Franklin County,4,17271,8621,8650,Female
Arkansas,Fulton County,4,12382,6160,6222,Female
Arkansas,Garland County,4,100089,48500,51589,Female
Arkansas,Grant County,4,18160,9094,9066,Male
Arkansas,Greene County,4,46448,22990,23458,Female
Arkansas,Hempstead County,4,19453,9556,9897,Female
Arkansas,Hot Spring County,4,33203,17531,15672,Male
Arkansas,Howard County,4,12557,6116,6441,Female
Arkansas,Independence County,4,37945,18778,19167,Female
Arkansas,Izard County,4,14048,7426,6622,Male
Arkansas,Jackson County,4,16624,8339,8285,Male
Arkansas,Jefferson County,4,64246,32006,32240,Female
Arkansas,Johnson County,4,26001,12979,13022,Female
Arkansas,Lafayette County,4,6101,2967,3134,Female
Arkansas,Lawrence County,4,16205,8034,8171,Female
Arkansas,Lee County,4,8364,4713,3651,Male
Arkansas,Lincoln County,4,12916,8267,4649,Male
Arkansas,Little River County,4,11821,5737,6084,Female
Arkansas,Logan County,4,21253,10531,10722,Female
Arkansas,Lonoke County,4,75225,37303,37922,Female
Arkansas,Madison County,4,17486,8790,8696,Male
